%													
#for correction of metFormula (and metCharges) to balance equation	"#Note: no changes are made to R groups in model.metFormulas, since R groups can represent any CnHn and modification may cause other reactions to have unbalanced R groups"												
#model.mets	model.metFormulas	new_metFormulas	model.metCharges	new_metCharges	refMNXMID	rxn/related rxn(s)	refMNXRID	elementdiff	Notes	MNXNotes	KEGGNotes	ChEBINotes	otherDatabaseNotes
s_0710[m]	C42H44FeN8O8S2R4	C42H45FeN8O8S2R4	0	[]	MNXM746	r_0001	MNXR138960	H2	s_0710[m]: changed metFormula C42H44FeN8O8S2R4 to C42H45FeN8O8S2R4 to balance equation	"| ferricytochrome c is reduced to form ferrocytochrome c, thus 2 H added to metFormula for ferrocytochrome"	[]	[]	[]
s_0847[c]	C6H12NOR	C6H13NOR	0	1	MNXM89832	r_0665; r_0666	MNXR100820	[]	s_0847[c]: changed metFormula C6H12NOR to C6H13NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID ISOLEUCINE--TRNA-LIGASE-RXN
s_1596[c]	R	RH	0	[]	MNXM90879	r_0665; r_0666	MNXR100820	[]	s_1596[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID ISOLEUCINE--TRNA-LIGASE-RXN
s_0678[m]	C5H9NO5	C5H8NO5	0	-1	MNXM923	r_0672	MNXR102616	H-1	s_0678[m]: changed metFormula C5H9NO5 to C5H8NO5 to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_0960[c]	C3H4NO3	C3H5NO3	-1	0	MNXM2124	r_0690	MNXR101242	H1	s_0960[c]: changed metFormula C3H4NO3 to C3H5NO3 to balance equation | changed metCharges -1 to 0 to balance equation	| based on metFormula in MNXM2124	[]	[]	[]
s_1196[c]	C10H11NO4	C10H10NO4	0	-1	MNXM63755	r_0695	MNXR104994	H-1	s_1196[c]: changed metFormula C10H11NO4 to C10H10NO4 to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_1077[c]	C6H12NOR	C6H13NOR	0	1	MNXM697	r_0701; r_0702	MNXR101053	[]	s_1077[c]: changed metFormula C6H12NOR to C6H13NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID LEUCINE--TRNA-LIGASE-RXN
s_1598[c]	R	RH	0	[]	MNXM90880	r_0701; r_0702	MNXR101053	[]	s_1598[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID LEUCINE--TRNA-LIGASE-RXN
s_0013[c]	C20H32O4	C20H31O4	0	-1	MNXM31306	r_0703; r_0704	[]	H-1	s_0013[c]: changed metFormula C20H32O4 to C20H31O4 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM31306	[]	[]	[]
s_0608[c]	C20H32O4	C20H31O4	0	-1	MNXM507621	r_0705; r_0706	[]	H-1	s_0608[c]: changed metFormula C20H32O4 to C20H31O4 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM507621	[]	[]	[]
s_1099[c]	C6H14N2OR	C6H15N2OR	0	2	MNXM89922	r_0711; r_0712	MNXR101264		s_1099[c]: changed metFormula C6H14N2OR to C6H15N2OR to balance equation | changed metCharges 0 to 2 to balance equation	[]	[]	[]	| Reference to BioCycID LYSINE--TRNA-LIGASE-RXN
s_1600[c]	R	RH	0	[]	MNXM90881	r_0711; r_0712	MNXR101264		s_1600[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID LYSINE--TRNA-LIGASE-RXN
s_0785[c]	C10H13N5O14P3	C10H12N5O14P3	-3	-4	MNXM51	r_0722	MNXR101375	H1	s_0785[c]: changed metFormula C10H13N5O14P3 to C10H12N5O14P3 to balance equation | changed metCharges -3 to -4 to balance equation	[]	[]	[]	[]
s_0574[c]	C6H13O9P	C6H11O9P	0	-2	MNXM427	r_0723	MNXR106679	H2	s_0574[c]: changed metFormula C6H13O9P to C6H11O9P to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_1488[m]	C19H23N7O6	C19H21N7O6	0	-2	MNXM79	r_0728	MNXR124973	H-3	s_1488[m]: changed metFormula C19H23N7O6 to C19H21N7O6 to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_1148[c]	C5H10NOSR	C5H11NOSR	0	1	MNXM90636	r_0729; r_0730	MNXR101488		s_1148[c]: changed metFormula C5H10NOSR to C5H11NOSR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID METHIONINE--TRNA-LIGASE-RXN/RXN-16165
s_1602[c]	R	RH	0	[]	MNXM90882	r_0729; r_0730	MNXR101488		s_1602[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID METHIONINE--TRNA-LIGASE-RXN/RXN-16165
s_1185[c]	C20H20N2O8	C20H22N2O8	0	-2	MNXM147516	r_0763	MNXR101947	H2	s_1185[c]: changed metFormula C20H20N2O8 to C20H22N2O8 to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_0591[c]	C21H27N6O15P2	C21H24N6O15P2	1	-2	MNXM309	r_0768	MNXR97678	H3	s_0591[c]: changed metFormula C21H27N6O15P2 to C21H24N6O15P2 to balance equation | changed metCharges 1 to -2 to balance equation	| based on metFormula in MNXM309	[]	[]	[]
s_0593[n]	C21H27N6O15P2	C21H24N6O15P2	1	-2	MNXM309	r_0769	MNXR97678	H3	s_0593[n]: changed metFormula C21H27N6O15P2 to C21H24N6O15P2 to balance equation | changed metCharges 1 to -2 to balance equation	| based on metFormula in MNXM309	[]	[]	[]
s_0617[c]	C10H13N5O13P3	C10H12N5O13P3	-3	-4	MNXM344	r_0798	MNXR96118	H-1	s_0617[c]: changed metFormula C10H13N5O13P3 to C10H12N5O13P3 to balance equation | changed metCharges -3 to -4 to balance equation	| based on metFormula in MNXM344	[]	[]	[]
s_0650[c]	C10H14N2O14P3	C10H13N2O14P3	-3	-4	MNXM394	r_0799	MNXR101937	H-1	s_0650[c]: changed C10H14N2O14P3 to C10H13N2O14P3 to balance equation	| based on metFormula in MNXM394	[]	[]	[]
s_0618[c]	C10H14N4O10P2	C10H11N4O10P2	0	-3	MNXM2174	r_0802	MNXR101934	H3	s_0618[c]: changed metFormula C10H14N4O10P2 to C10H11N4O10P2 to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM2174	[]	[]	[]
s_1411[m]	C12H21NO4S2	C12H20NO4S2	0	-1	MNXM3710	r_0831	MNXR95656	H1	s_1411[m]: changed metFormula C12H21NO4S2 to C12H20NO4S2 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM3710	[]	[]	[]
s_0017[c]	C9H18NO8P	C9H15NO8P	0	-3	MNXM415	r_0842	MNXR103050	H-3	s_0017[c]: changed metFormula C9H18NO8P to C9H15NO8P to balance equation | changed metCharges 0 to -3 to balance equation	| based on metFormula in MNXM415	[]	[]	[]
s_1314[c]	C9H10NOR	C9H11NOR	0	1	MNXM89802	r_0852; r_0853	MNXR102634	[]	s_1314[c]: changed metFormula C9H10NOR to C9H11NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID PHENYLALANINE--TRNA-LIGASE-RXN
s_1604[c]	R	RH	0	[]	MNXM90753	r_0852; r_0853	MNXR102634	[]	s_1604[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID PHENYLALANINE--TRNA-LIGASE-RXN
s_1189[c]	C8H16NO9P	C8H14NO9P	0	-2	MNXM340	r_0882	MNXR111765	H-2	s_1189[c]: changed metFormula C8H16NO9P to C8H14NO9P to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM340	[]	[]	[]
s_0555[c]	C6H14O12P2	C6H10O12P2	0	-4	MNXM500	r_0886	MNXR106666	H-4	s_0555[c]: changed metFormula C6H14O12P2 to C6H10O12P2 to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_0412[c]	C6H14NO8P	C6H13NO8P	0	-1	MNXM162238	r_0890	MNXR102526	H-1	s_0412[c]: changed metFormula C6H14NO8P to C6H13NO8P to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_0573[c]	C6H13O9P	C6H11O9P	0	-2	MNXM721	r_0902	MNXR101729	H2	s_0573[c]: changed metFormula C6H13O9P to C6H11O9P to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_1408[c]	C5H11O8P	C5H9O8P	0	-2	MNXM15900	r_0907	MNXR103115	H-2	s_1408[c]: changed metFormula C5H11O8P to C5H9O8P to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM15900	[]	[]	[]
s_1364[c]	C9H11N3O9P	C9H12N3O9P	-3	-2	MNXM507	r_0911	MNXR108735	H2	s_1364[c]: changed metFormula C9H11N3O9P to C9H12N3O9P to balance equation | changed metCharges -3 to -2 to balance equation	[]	[]	[]	[]
s_1366[er]	C18H39NO3	C18H40NO3	0	1	MNXM914	r_0920; r_0922	MNXR110323	O1H1	s_1366[er]: changed metFormula C18H39NO3 to C18H40NO3 to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	[]
s_1379[c]	C5H8NOR	C5H9NOR	0	1	MNXM247	r_0941	MNXR103208	[]	s_1379[c]: changed C5H8NOR to C5H9NOR to balance equation	[]	[]	[]	| Reference to BioCycID PROLINE--TRNA-LIGASE-RXN
s_1606[c]	R	RH	[]	0	MNXM90667	r_0941	MNXR103208	[]	s_1606[c]: changed metFormula R to RH to balance equation | changed metCharges [] to 0 to balance equation	[]	[]	[]	| Reference to BioCycID PROLINE--TRNA-LIGASE-RXN
s_0590[c]	C9H13N3O13P3	C9H12N3O13P3	-3	-4	MNXM360	r_0971	MNXR104076	N-1H-2R-2	s_0590[c]: changed metFormula C9H13N3O13P3 to C9H12N3O13P3 to balance equation | changed metCharges -3 to -4 to balance equation	[]	[]	[]	[]
s_1616[c]	C6H9NO2S2R2	C6H10N2O2S2R2	0	0	MNXM96993	r_0971; r_0972; r_0973; r_0974; r_0976; r_0978; r_1038; r_4186; r_4202; r_0975	MNXR104070	N-1H-1R-2	s_1616[c]: changed metFormula C6H9NO2S2R2 to C6H10N2O2S2R2 to balance equation | changed metCharges 0 to 0 to balance equation	[]	[]	[]	[]
s_1620[c]	C6H8N2O2S2R4	C6H9N2O2S2R4	0	1	MNXM148	r_0971; r_0972; r_0973; r_0974; r_0976; r_0978; r_1038; r_4186; r_4202; r_0975	MNXR104070	N-1H-1R-2	s_1620[c]: changed metFormula C6H8N2O2S2R4 to C6H9N2O2S2R4 to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	[]
s_0656[c]	C9H12N2O14P3	C9H11N2O14P3	-3	-4	MNXM452	r_0973	MNXR104079	N-1H-2R-2	s_0656[c]: changed metFormula C9H12N2O14P3 to C9H11N2O14P3 to balance equation | changed metCharges -3 to -4 to balance equation	[]	[]	[]	[]
s_1618[n]	C6H9NO2S2R2	C6H10N2O2S2R2	0	[]	MNXM96993	r_0975; r_0977; r_0979	MNXR104060	N-1H-1R-2	s_1618[n]: changed C6H9NO2S2R2 to C6H10N2O2S2R2 to balance equation	[]	[]	[]	[]
s_1622[n]	C6H8N2O2S2R4	C6H9N2O2S2R4	0	1	MNXM148	r_0975; r_0977; r_0979	MNXR104060	N-1H-1R-2	s_1622[n]: changed metFormula C6H8N2O2S2R4 to C6H9N2O2S2R4 to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	[]
s_1428[c]	C3H6NO2R	C3H7NO2R	0	1	MNXM165150	r_0995	MNXR104350	[]	s_1428[c]: changed metFormula C3H6NO2R to C3H7NO2R to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID SERINE--TRNA-LIGASE-RXN
s_1607[c]	R	RH	[]	0	MNXM91028	r_0995	MNXR104350	[]	s_1607[c]: changed metFormula R to RH to balance equation | changed metCharges [] to 0 to balance equation	[]	[]	[]	| Reference to BioCycID SERINE--TRNA-LIGASE-RXN
s_1367[er]	C18H40NO6P	C18H39NO6P	0	-1	MNXM3337	r_1004; r_1006	MNXR104281	H1	s_1367[er]: changed metFormula C18H40NO6P to C18H39NO6P to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_1469[c]	HO3S	O3S	-1	-2	MNXM105630	r_1027	MNXR104650	H1	s_1469[c]: changed metFormula HO3S to O3S to balance equation | changed metCharges -1 to -2 to balance equation	| based on metFormula in MNXM105630	[]	[]	[]
s_0308[c]	C24H30N8O9	C24H27N8O9	0	-3	MNXM723480	r_1031	MNXR143412	H-1	s_0308[c]: changed metFormula C24H30N8O9 to C24H27N8O9 to balance equation | changed metCharges 0 to -3 to balance equation	[]	[]	[]	[]
s_1476[e]	C12H18N4O7P2S	C12H16N4O7P2S	0	-2	MNXM256	r_1032	MNXR138860	H2	s_1476[e]: changed metFormula C12H18N4O7P2S to C12H16N4O7P2S to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM256	[]	[]	[]
s_1498[e]	C12H18N4O4PS	C12H16N4O4PS	1	-1	MNXM662	r_1033	MNXR104823	H2	s_1498[e]: changed metFormula C12H18N4O4PS to C12H16N4O4PS to balance equation | changed metCharges 1 to -1 to balance equation	| based on metFormula in MNXM662	[]	[]	[]
s_1475[c]	C12H18N4O7P2S	C12H16N4O7P2S	0	-2	MNXM256	r_1034	MNXR104886	H-2	s_1475[c]: changed metFormula C12H18N4O7P2S to C12H16N4O7P2S to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM256	[]	[]	[]
s_1497[c]	C12H18N4O4PS	C12H16N4O4PS	1	-1	MNXM662	r_1036	MNXR104908	H-2	s_1497[c]: changed metFormula C12H18N4O4PS to C12H16N4O4PS to balance equation | changed metCharges 1 to -1 to balance equation	| based on metFormula in MNXM662	[]	[]	[]
s_1617[m]	C6H9NO2S2R2	C6H10N2O2S2R2	0	0	MNXM96993	r_1039	MNXR104766	N1H1R2	s_1617[m]: changed metFormula C6H9NO2S2R2 to C6H10N2O2S2R2 to balance equation | changed metCharges 0 to 0 to balance equation	[]	[]	[]	[]
s_1621[m]	C6H8N2O2S2R4	C6H9N2O2S2R4	0	1	MNXM148	r_1039	MNXR104766	N1H1R2	s_1621[m]: changed metFormula C6H8N2O2S2R4 to C6H9N2O2S2R4 to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	[]
s_1491[c]	C4H8NO2R	C4H9NO2R	0	1	MNXM89895	r_1042; r_1043	MNXR104848	[]	s_1491[c]: changed metFormula C4H8NO2R to C4H9NO2R to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID THREONINE--TRNA-LIGASE-RXN
s_1608[c]	R	RH	0	[]	MNXM90883	r_1042; r_1043	MNXR104848	[]	| s_1469[c]: changed HO3S to O3S to balance equation	[]	[]	[]	| Reference to BioCycID THREONINE--TRNA-LIGASE-RXN
s_0649[c]	C10H15N2O8P	C10H13N2O8P	0	-2	MNXM257	r_1045	MNXR104889	H-2	s_0649[c]: changed metFormula C10H15N2O8P to C10H13N2O8P to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_1527[c]	C11H11N2OR	C11H12N2OR	0	1	MNXM89804	r_1057; r_1058	MNXR104948	[]	s_1527[c]: changed metFormula C11H11N2OR to C11H12N2OR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID TRYPTOPHAN--TRNA-LIGASE-RXN
s_1610[c]	R	RH	0	[]	MNXM90755	r_1057; r_1058	MNXR104948	[]	s_1610[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID TRYPTOPHAN--TRNA-LIGASE-RXN
s_1533[c]	C9H10NO2R	C9H11NO2R	0	1	MNXM89822	r_1066; r_1067	MNXR105001	[]	s_1533[c]: changed metFormula C9H10NO2R to C9H11NO2R to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID TYROSINE--TRNA-LIGASE-RXN
s_1612[c]	R	RH	0	[]	MNXM90668	r_1066; r_1067	MNXR105001	[]	s_1612[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID TYROSINE--TRNA-LIGASE-RXN
s_1561[c]	C5H10NOR	C5H11NOR	0	1	MNXM90110	r_1089; r_1090	MNXR105186	[]	s_1561[c]: changed metFormula C5H10NOR to C5H11NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to BioCycID VALINE--TRNA-LIGASE-RXN
s_1614[c]	R	RH	0	[]	MNXM90885	r_1089; r_1090	MNXR105186	[]	s_1614[c]: changed R to RH to balance equation	[]	[]	[]	| Reference to BioCycID VALINE--TRNA-LIGASE-RXN
s_2763[c]	C10H7NO3	C10H6NO3	0	-1	MNXM1113	r_2112	MNXR132503	O1H1	s_2763[c]: changed metFormula C10H7NO3 to C10H6NO3 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM1113	[]	[]	[]
s_2764[c]	C10H7NO2	[]	0	-1	MNXM4797	r_2113	[]		s_2764[c]: changed metFormula C10H7NO2 to [] to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_2777[m]	C18H35O2S	C8H15O2S	0	[]	MNXM10033	r_2147; r_2150	MNXR137225	C-10H-20R1	s_2777[m]: changed C18H35O2S to C8H15O2S to balance equation	| based on metFormula in seed:cpd16857 (linked to MNXM10033)	[]	[]	[]
s_2792[erm]	C41H72N7O18P3S	C41H68N7O18P3S	0	-4	MNXM36762	r_2157	MNXR103450	H-4	s_2792[erm]: changed metFormula C41H72N7O18P3S to C41H68N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM36762	[]	[]	[]
s_2795[erm]	C43H78N7O17P3S	C43H74N7O17P3S	0	-4	MNXM10780	r_2159	[]	H4	s_2795[erm]: changed metFormula C43H78N7O17P3S to C43H74N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM10780	[]	[]	[]
s_2801[erm]	C35H62N7O18P3S	C35H58N7O18P3S	0	-4	MNXM767	r_2161	[]	H-4	s_2801[erm]: changed metFormula C35H62N7O18P3S to C35H58N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM767	[]	[]	[]
s_2802[erm]	C37H66N7O18P3S	C37H62N7O18P3S	0	-4	MNXM825	r_2162	[]	H-4	s_2802[erm]: changed metFormula C37H66N7O18P3S to C37H62N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM825	[]	[]	[]
s_2803[erm]	C39H70N7O18P3S	C39H66N7O18P3S	0	-4	MNXM1309	r_2163	MNXR103465	H-4	s_2803[erm]: changed metFormula C39H70N7O18P3S to C39H66N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM1309	[]	[]	[]
s_2804[erm]	C41H74N7O18P3S	C41H70N7O18P3S	0	-4	MNXM146349	r_2164	MNXR103451	H-4	s_2804[erm]: changed metFormula C41H74N7O18P3S to C41H70N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM146349	[]	[]	[]
s_2810[erm]	C37H64N7O17P3S	C37H60N7O17P3S	0	-4	MNXM581	r_2169; r_2176	[]	H-4	s_2810[erm]: changed metFormula C37H64N7O17P3S to C37H60N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM581	[]	[]	[]
s_2813[erm]	C33H56N7O17P3S	C43H72N7O17P3S	0	-4	MNXM97615	r_2172; r_2179; r_2240; r_2258	[]	C10H16	s_2813[erm]: changed metFormula C33H56N7O17P3S to C43H72N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM97615	[]	[]	[]
s_2805[erm]	C43H78N7O18P3S	C43H74N7O18P3S	0	-4	MNXM162568	r_2172; r_2258	[]	C10H16	s_2805[erm]: changed metFormula C43H78N7O18P3S to C43H74N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM162568	[]	[]	[]
s_2806[erm]	C45H82N7O18P3S	C45H78N7O18P3S	0	-4	MNXM36558	r_2173	MNXR118009	H4	s_2806[erm]: changed metFormula C45H82N7O18P3S to C45H78N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_2807[erm]	C47H86N7O18P3S	C47H82N7O18P3S	0	-4	MNXM31741	r_2174; r_2253 (s_0045[p])	[]	H-4	s_2807[erm]: changed metFormula C47H86N7O18P3S to C47H82N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_2812[erm]	C41H72N7O17P3S	C41H68N7O17P3S	0	-4	MNXM22115	r_2178; r_2239	[]	H4	s_2812[erm]: changed metFormula C41H72N7O17P3S to C41H68N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM22115	[]	[]	[]
s_2861[ce]	C41H74N7O17P3S	C41H70N7O17P3S	0	-4	MNXM1429	r_2209	[]	H-4	s_2861[ce]: changed metFormula C41H74N7O17P3S to C41H70N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM1429	[]	[]	[]
s_2863[ce]	C43H78N7O17P3S	C43H74N7O17P3S	0	-4	MNXM10780	r_2210	[]	H-4	s_2863[ce]: changed metFormula C43H78N7O17P3S to C43H74N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM10780	[]	[]	[]
s_2872[lp]	C43H78N7O17P3S	C43H74N7O17P3S	0	-4	MNXM10780	r_2216	[]	H-4	s_2872[lp]: changed metFormula C43H78N7O17P3S to C43H74N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM10780	[]	[]	[]
s_2888[p]	C29H48N7O17P3S	C29H44N7O17P3S	0	-4	MNXM784	r_2238	[]	H-4	s_2888[p]: changed metFormula C29H48N7O17P3S to C29H44N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM784	[]	[]	[]
s_2881[p]	C43H78N7O17P3S	C43H74N7O17P3S	0	-4	MNXM10780	r_2240	[]	C10H20	s_2881[p]: changed metFormula C43H78N7O17P3S to C43H74N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM10780	[]	[]	[]
s_2891[p]	C45H80N7O17P3S	C45H76N7O17P3S	0	-4	MNXM97616	r_2241; r_2180 (s_2814[erm])	MNXR127548	H-4	s_2891[p]: changed metFormula C45H80N7O17P3S to C45H76N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_2896[p]	C35H54N7O17P3S	C33H54N7O17P3S	0	[]	[]	r_2244	[]	C2	"| trans-2,cis-5-dodecadienoyl-CoA, with 2 C=C double bonds in dienoyl-CoA, should only have 2 less H atoms as compared to cis-dodec-5-enoyl-CoA, with 1 C=C double bond in enoyl-CoA"	[]	[]	"| metFormula deduced with reference to ChEBIID CHEBI:139121 ((3E,5Z)-dodecadienoyl-CoA)"	[]
s_2897[p]	C39H66N7O17P3S	C39H62N7O17P3S	0	-4	MNXM638	r_2245	[]	H-4	s_2897[p]: changed metFormula C39H66N7O17P3S to C39H62N7O17P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM638	[]	[]	[]
s_0042[p]	C31H54N7O18P3S	C31H50N7O18P3S	0	-4	MNXM674	r_2248	MNXR97889	H-4	s_0042[p]: changed metFormula C31H54N7O18P3S to C31H50N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM674	[]	[]	[]
s_0048[p]	C33H58N7O18P3S	C33H54N7O18P3S	0	-4	MNXM733	r_2249	MNXR97890	H-4	s_0048[p]: changed metFormula C33H58N7O18P3S to C33H54N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM733	[]	[]	[]
s_0051[p]	C37H66N7O18P3S	C37H62N7O18P3S	0	-4	MNXM825	r_2251	MNXR97892	H-4	s_0051[p]: changed metFormula C37H66N7O18P3S to C37H62N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM825	[]	[]	[]
s_0229[p]	C39H70N7O18P3S	C39H66N7O18P3S	0	-4	MNXM1309	r_2252	MNXR103466	H-4	s_0229[p]: changed metFormula C39H70N7O18P3S to C39H66N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM1309	[]	[]	[]
s_2887[p]	C27H40N7O17P3S	C27H44N7O17P3S	-4	0	MNXM753	r_2255	[]	H-4	s_2887[p]: changed metFormula C27H40N7O17P3S to C27H44N7O17P3S to balance equation | changed metCharges -4 to 0 to balance equation	| metFormula in MNX database (C27H40N7O17P3S) with metCharge -4 is a conjugate base of trans-hex-2-enoyl-CoA (C27H44N7O17P3S)	[]	| Verified via reference to ChEBIID CHEBI:28706	[]
s_2907[p]	C45H82N7O18P3S	C45H78N7O18P3S	0	-4	MNXM36558	r_2259	MNXR118009	H-4	s_2907[p]: changed metFormula C45H82N7O18P3S to C45H78N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
s_2892[p]	C37H58N7O17P3S	C37H62N7O17P3S	-4	0	MNXM10467	r_2260	[]	C-2H-8	s_2892[p]: changed metFormula C37H58N7O17P3S to C37H62N7O17P3S to balance equation | changed metCharges -4 to 0 to balance equation	"| metFormula in MNX database (C37H58N7O17P3S) with metCharge -4 is a conjugate base of trans-2,cis-9-hexadecadienoyl-CoA (C37H62N7O17P3S)"	[]	| Verified via reference to ChEBIID CHEBI:78178	[]
s_2908[p]	C39H68N7O18P3S	C37H64N7O18P3S	0	[]	[]	r_2260; r_2277	[]	C2O1H2	"| 3-hydroxy, in IUPAC nomenclature, indicates an ""-OH"" functional group bonded to carbon-3 of the S-acyl group i.e. (R)-3-hydroxy-cis-hexadec-9-enoyl-CoA should have 2 more H atoms compared to 3-oxo-cis-hexadec-9-enoyl-CoA (C37H62N7O18P3S, which has an ""=O"" group bonded to the same numbered carbon)"	[]	[]	"| metFormula deduced with reference to ChEBIID CHEBI:88087 ((3S,7Z)-3-hydroxyhexadecenoyl-CoA, an isomer)"	[]
s_2911[p]	C39H68N7O18P3S	C39H64N7O18P3S	0	-4	MNXM149457	r_2263; r_2280	[]	H-4	s_2911[p]: changed metFormula C39H68N7O18P3S to C39H64N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM149457	[]	[]	[]
s_2902[p]	C25H42N7O18P3S	C25H38N7O18P3S	0	-4	MNXM1058	r_2271	[]	H4	s_2902[p]: changed metFormula C25H42N7O18P3S to C25H38N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM1058	[]	[]	[]
s_2905[p]	C41H74N7O18P3S	C41H70N7O18P3S	0	-4	MNXM36530	r_2274	[]	H4	s_2905[p]: changed metFormula C41H74N7O18P3S to C41H70N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM36530	[]	[]	[]
s_2918[p]	C43H76N7O18P3S	C43H72N7O18P3S	0	-4	MNXM36756	r_2275	[]	H-4	s_2918[p]: changed metFormula C43H76N7O18P3S to C43H72N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM36756	[]	[]	[]
s_2919[p]	C45H80N7O18P3S	C45H76N7O18P3S	0	-4	MNXM36773	r_2276	[]	H-4	s_2919[p]: changed metFormula C45H80N7O18P3S to C45H76N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	[]	[]	[]	[]
